,DateTime,Time,EX,SYM_ROOT,BID,BIDSIZ,ASK,ASKSIZ,NATBBO_IND,QU_COND
2082,2018-01-04,09:29:00.007674,Z,AAPL,172.33,3,173.13,3,0,R
2083,2018-01-04,09:29:01.158757,P,AAPL,172.65,1,172.75,3,2,R
2084,2018-01-04,09:29:02.729694,P,AAPL,172.63,2,172.75,3,0,R
2085,2018-01-04,09:29:02.729934,Q,AAPL,172.71,14,172.8,22,2,R
2086,2018-01-04,09:29:02.730286,Z,AAPL,172.33,3,173.13,3,0,R
2087,2018-01-04,09:29:02.730289,K,AAPL,172.58,10,173.0,2,0,R
2088,2018-01-04,09:29:02.730291,Y,AAPL,172.52,1,172.93,1,0,R
2089,2018-01-04,09:29:02.730305,J,AAPL,172.48,1,172.98,1,0,R
2090,2018-01-04,09:29:02.760258,Y,AAPL,172.52,1,172.93,1,0,R
2091,2018-01-04,09:29:02.760258,Z,AAPL,172.33,3,173.13,3,0,R
2092,2018-01-04,09:29:02.760268,K,AAPL,172.58,10,173.0,2,0,R
2093,2018-01-04,09:29:02.760269,J,AAPL,172.48,1,172.98,1,0,R
2094,2018-01-04,09:29:18.929591,P,AAPL,172.63,2,172.75,2,2,R
2095,2018-01-04,09:29:19.188269,Z,AAPL,172.33,3,173.13,3,0,R
2096,2018-01-04,09:29:19.192188,Z,AAPL,172.33,3,173.13,3,0,R
2097,2018-01-04,09:29:22.584268,A,AAPL,172.46,1,0.0,0,0,R
2098,2018-01-04,09:29:22.584343,A,AAPL,172.46,1,173.0,1,0,R
2099,2018-01-04,09:29:23.309249,P,AAPL,172.63,2,172.79,1,2,R
2100,2018-01-04,09:29:24.007927,Z,AAPL,172.33,3,173.17,3,0,R
2101,2018-01-04,09:29:24.833227,Y,AAPL,172.52,1,179.71,1,0,R
2102,2018-01-04,09:29:25.733372,Y,AAPL,172.52,1,172.93,1,0,R
2103,2018-01-04,09:29:34.883593,M,AAPL,172.47,1,0.0,0,0,Y
2104,2018-01-04,09:29:34.883671,M,AAPL,172.47,1,172.99,1,0,R
2105,2018-01-04,09:29:37.464056,Q,AAPL,172.71,14,172.75,1,4,R
2106,2018-01-04,09:29:38.921329,Q,AAPL,172.71,14,172.8,22,2,R
2107,2018-01-04,09:29:38.922181,P,AAPL,172.63,2,172.79,1,0,R
2108,2018-01-04,09:29:38.922589,Z,AAPL,172.33,3,173.17,3,0,R
2109,2018-01-04,09:29:38.922589,Y,AAPL,172.52,1,172.93,1,0,R
2110,2018-01-04,09:29:38.922606,K,AAPL,172.58,10,173.0,2,0,R
2111,2018-01-04,09:29:38.922607,J,AAPL,172.48,1,172.98,1,0,R
2112,2018-01-04,09:29:38.923015,P,AAPL,172.63,2,172.79,1,0,R
2113,2018-01-04,09:29:38.923843,P,AAPL,172.63,2,172.79,1,0,R
2114,2018-01-04,09:29:38.924672,P,AAPL,172.63,2,172.89,5,2,R
2115,2018-01-04,09:29:38.924962,Z,AAPL,172.33,3,173.17,3,0,R
2116,2018-01-04,09:29:38.925624,Q,AAPL,172.71,14,172.8,17,4,R
2117,2018-01-04,09:29:38.952565,Y,AAPL,172.52,1,172.93,1,0,R
2118,2018-01-04,09:29:38.952570,Z,AAPL,172.33,3,173.17,3,0,R
2119,2018-01-04,09:29:38.952579,J,AAPL,172.48,1,172.98,1,0,R
2120,2018-01-04,09:29:38.952580,K,AAPL,172.58,10,173.0,2,0,R
2121,2018-01-04,09:29:39.188229,Z,AAPL,172.33,3,173.17,3,0,R
2122,2018-01-04,09:29:39.191939,Z,AAPL,172.33,3,173.17,3,0,R
2123,2018-01-04,09:29:49.809002,Q,AAPL,172.75,2,172.8,17,4,R
2124,2018-01-04,09:29:53.721133,K,AAPL,172.51,1,173.0,2,0,R
2125,2018-01-04,09:29:54.407955,Z,AAPL,172.37,3,173.17,3,0,R
2126,2018-01-04,09:29:58.422592,K,AAPL,172.51,1,173.0,1,0,R
