,Best_Bid_Creates,Best_Bid_Joins,Best_Offer_Creates,Best_Offer_Joins,Date,Symbol
A,0.6676036542515812,0.7444039562727746,0.3373493975903614,0.24428952832987244,2018-01-02,AAPL
B,0.6130284728213977,0.7114371391738131,0.3847402597402597,0.27630500522849955,2018-01-02,AAPL
C,0.0,0.0,0.0,0.0,2018-01-02,AAPL
D,0.0,0.0,0.0,0.0,2018-01-02,AAPL
I,0.0,0.0,0.0,0.0,2018-01-02,AAPL
J,0.6195092396243562,0.727931280183675,0.4052595545890218,0.287255124423266,2018-01-02,AAPL
K,0.5422324510932106,0.6494362574612983,0.4528388530702963,0.3368598474017668,2018-01-02,AAPL
M,0.5492957746478874,0.717391304347826,0.3764705882352941,0.35502958579881655,2018-01-02,AAPL
N,0.0,0.0,0.0,0.0,2018-01-02,AAPL
P,0.5652062516013323,0.6696563086438244,0.42698460350817,0.3185633270321361,2018-01-02,AAPL
S,0.0,0.0,0.0,0.0,2018-01-02,AAPL
T,0.0,0.0,0.0,0.0,2018-01-02,AAPL
Q,0.5347816691876798,0.6293296288380709,0.4554745218395532,0.36195051861164745,2018-01-02,AAPL
V,0.6076736951261666,0.7236740185087039,0.3583889173935351,0.26162611641515243,2018-01-02,AAPL
W,0.0,0.0,0.0,0.0,2018-01-02,AAPL
X,0.6115026783197068,0.7126651480637813,0.34465931682631484,0.24265314569536423,2018-01-02,AAPL
Y,0.6238081644304881,0.7328100818041123,0.3352963671128107,0.23325510506865205,2018-01-02,AAPL
Z,0.5417782752968456,0.6507480530694253,0.4517938682322244,0.33929644767686484,2018-01-02,AAPL
A,0.7916666666666666,0.4,0.46153846153846156,0.21621621621621623,2018-11-05,MA
B,0.6354521756567074,0.7041899980691253,0.360403796896188,0.2811762180725478,2018-11-05,MA
C,0.6723691031622603,0.6819001029866117,0.333947087896114,0.3272614622057001,2018-11-05,MA
D,0.0,0.0,0.0,0.0,2018-11-05,MA
I,0.0,0.0,0.0,0.0,2018-11-05,MA
J,0.6977745872218234,0.7325547445255475,0.32059914800054967,0.2734322319622387,2018-11-05,MA
K,0.6671699912580465,0.7001349007515899,0.3322173577131084,0.2997637330183107,2018-11-05,MA
M,0.0,0.0,0.0,0.0,2018-11-05,MA
N,0.6651679717100278,0.708937459424367,0.33044892270166676,0.29638234317955525,2018-11-05,MA
P,0.6928505893147011,0.7294364718235912,0.31149682717431876,0.29002079002079,2018-11-05,MA
S,0.0,0.0,0.0,0.0,2018-11-05,MA
T,0.6451086956521739,0.6989397879575915,0.3342419400319579,0.2950848347035158,2018-11-05,MA
Q,0.0,0.0,0.0,0.0,2018-11-05,MA
V,0.6466992665036675,0.6618342262842736,0.36296118830857693,0.33956075299486593,2018-11-05,MA
W,0.0,0.0,0.0,0.0,2018-11-05,MA
X,0.6544368600682594,0.7403846153846154,0.3487211478477854,0.2840646651270208,2018-11-05,MA
Y,0.6212259835315646,0.7439024390243902,0.33467381590705986,0.27956337174044876,2018-11-05,MA
Z,0.6749103499443552,0.7348066298342542,0.32452032029007405,0.28744809964867457,2018-11-05,MA
A,0.7254901960784313,0.7905405405405406,0.35789473684210527,0.4594594594594595,2018-12-31,PEP
B,0.6967501760740518,0.8113384644265065,0.36862258097899203,0.261612620508326,2018-12-31,PEP
C,0.7291640238487885,0.7988456968256663,0.3805628272251309,0.3297419903600794,2018-12-31,PEP
D,0.0,0.0,0.0,0.0,2018-12-31,PEP
I,0.0,0.0,0.0,0.0,2018-12-31,PEP
J,0.7628676470588235,0.8095909732016925,0.28689111747851004,0.22229775662814413,2018-12-31,PEP
K,0.7530009732886341,0.803938479229553,0.3168472287643272,0.2537313432835821,2018-12-31,PEP
M,0.509090909090909,0.8,0.4411764705882353,0.3333333333333333,2018-12-31,PEP
N,0.7227797290516809,0.7736107309061045,0.37585286265203205,0.2839052287581699,2018-12-31,PEP
P,0.7226198402130493,0.7783805108985107,0.3649299977048428,0.27279535667478,2018-12-31,PEP
S,0.0,0.0,0.0,0.0,2018-12-31,PEP
T,0.0,0.0,0.0,0.0,2018-12-31,PEP
Q,0.712443201677735,0.7390493342767094,0.3629632456776459,0.2976788914630415,2018-12-31,PEP
V,0.7137633316404266,0.7910551093879812,0.3973696043165468,0.3317545748116254,2018-12-31,PEP
W,0.0,0.0,0.0,0.0,2018-12-31,PEP
X,0.7136498516320475,0.7913486005089059,0.33841886269070737,0.3008474576271186,2018-12-31,PEP
Y,0.7439174622728673,0.8339728830903044,0.3377364154908436,0.2592113768584357,2018-12-31,PEP
Z,0.712529593880896,0.7792140041734291,0.3646431929787901,0.2817990161630358,2018-12-31,PEP
A,0.0,0.0,0.0,0.0,2018-01-05,UPRO
B,0.6706642066420664,0.7170680352677984,0.33660960795140804,0.28685897435897434,2018-01-05,UPRO
C,0.0,0.0,0.0,0.0,2018-01-05,UPRO
D,0.0,0.0,0.0,0.0,2018-01-05,UPRO
I,0.0,0.0,0.0,0.0,2018-01-05,UPRO
J,0.6212471131639723,0.6906290115532734,0.31653944020356234,0.31357142857142856,2018-01-05,UPRO
K,0.689459742499846,0.7367203487854791,0.3462880225227982,0.3118602761982128,2018-01-05,UPRO
M,0.6861697310026266,0.7392065344224037,0.32547415396058016,0.28817021276595745,2018-01-05,UPRO
N,0.0,0.0,0.0,0.0,2018-01-05,UPRO
P,0.6316352843867076,0.714463673977844,0.37878504423123177,0.3151702189217861,2018-01-05,UPRO
S,0.0,0.0,0.0,0.0,2018-01-05,UPRO
T,0.619212380473075,0.696759941089838,0.3912104565258572,0.3371119052937235,2018-01-05,UPRO
Q,0.0,0.0,0.0,0.0,2018-01-05,UPRO
V,0.7792207792207793,1.0,0.25675675675675674,0.2857142857142857,2018-01-05,UPRO
W,0.0,0.0,0.0,0.0,2018-01-05,UPRO
